index,english_name,hindi_name,english_one_line,hindi_one_line
23,Bhaganetraaya,भगनेत्राय,Salutations To The one who possesses the eyes of Bhaga (a Vedic deity of wealth and prosperity).,भग (धन और समृद्धि के वैदिक देवता) की आँखों वाले को नमन।
24,Bhavaaya,भवाय,Salutations To The one who is existence itself.,"जो स्वयं अस्तित्व स्वरूप हैं, उन्हें नमन।"
25,Bhoktre,भोक्त्रे,Salutations To The one who is the ultimate enjoyer and experiencer.,परम भोक्ता और अनुभवकर्ता को नमन।
26,Bhuudevaaya,भूदेवाय,Salutations To The one who is a god on Earth.,"वही जो धरती पर देवता हैं, उन्हें नमन।"
27,Bhagavate,भगवते,Salutations To The  divine and glorious Lord.,दिव्य और तेजस्वी भगवान को नमन।
28,Rathine,रथिणे,"Salutations To The one who rides a chariot, symbolizing a master of his journey.","रथ पर सवार होने वाले, जो अपनी यात्रा के स्वामी का प्रतीक हैं, उन्हें नमन।"
29,Bhraajishnave,भ्राजिष्णवे,Salutations To The one who is brilliantly radiant and shines splendidly.,"जो अत्यंत तेजोमय और अद्भुत रूप से प्रकाशित होते हैं, उन्हें नमन।"
30,Bhojanaaya,भोजनाय,Salutations To The one who is the embodiment of all food and nourishment.,सभी भोजन और पोषण के स्वरूप को नमन।
31,Bhoktre,भोक्त्रे,Salutations To The one who is the ultimate enjoyer and experiencer of all things.,सभी वस्तुओं के परम भोक्ता और अनुभवकर्ता को नमन।
32,Bhikshaabhuje,भिक्षाभुजे,"Salutations To The one who consumes food offered as alms, representing detachment.","भिक्षा के रूप में अर्पित भोजन ग्रहण करने वाले को नमन, जो वैराग्य का प्रतीक है।"
33,Bhojanapriyaaya,भोजनप्रियाय,Salutations To The one who is fond of food and offerings.,भोजन और नैवेद्य के प्रिय को नमन।
34,Bhuutimayaaya,भूतिमयाय,Salutations To The one who is entirely composed of sacred ash and divine glory.,"जो पूर्णतः पवित्र भस्म और दिव्य महिमा से बने हैं, उन्हें नमन।"
35,Bhringgiritine,भृंगगिरिटीने,Salutations To The one who is accompanied by the devoted sage Bhringi.,भक्त ऋषि भृंगी के साथ रहने वाले को नमन।
36,Bhaktasaadhitavigrahaaya,भक्तसाधितविग्रहाय,Salutations To The one whose divine form is attainable through the devotion of his followers.,"जिनकी दिव्य आकृति उनके भक्तों की भक्ति से प्राप्त होती है, उन्हें नमन।"
37,Bhuutacaarine,भूतचारिणे,Salutations To The one who wanders among ghosts and elemental spirits.,"उन (कालभैरव) को नमन, जो भूत-प्रेतों और तत्वों के बीच विचरण करते हैं।"
38,Nishaacaarine,निशाचारिणे,Salutations To The one who wanders in the darkness of the night.,रात्रि के अंधकार में विचरण करने वाले को नमन।
39,Pretacaarine,प्रेतचारिणे,Salutations To The one who moves among the spirits of the deceased.,उन प्रेतों के बीच विचरण करने वाले (कालभैरव) को नमन।
40,Bhayaanakaaya,भयानकाय,Salutations To The one who is of a terrifying and fearsome appearance.,भयावह और डरावनी उपस्थिति वाले (भैरव) को नमन।
41,Bhavaatmane,भवात्मने,Salutations To The one who is the very soul of existence and creation.,अस्तित्व और सृष्टि की आत्मा के स्वरूप को नमन।
42,Bhuurbhuvolakshmyai,भूर्भुवोलक्ष्म्यै,"Salutations To The one who is the splendor and glory of the three worlds (Earth, Atmosphere, and Heavens).","तीनों लोकों (पृथ्वी, वातावरण और स्वर्ग) की शोभा और महिमा स्वरूप को नमन।"
43,Bhuutimate,भूतिमाते,Salutations To The one who possesses immense divine powers and prosperity.,अपार दिव्य शक्तियों और समृद्धि वाले को नमन।
44,Bhavavikramaaya,भवविक्रमाय,Salutations To The one whose prowess and might bring about creation.,"जिनके पराक्रम और शक्ति से सृष्टि का निर्माण होता है, उन (भगवान) को नमन।"
45,Padmagarbhaaya,पद्मगर्भाय,"Salutations To The one who has a lotus at his navel, from which creation arises.","जिनके नाभि में कमल है और जिससे सृष्टि उत्पन्न होती है, उनको नमन।"
46,Mahaagarbhaaya,महागर्भाय,Salutations To The one who contains the great cosmic womb within himself.,"जो स्वयं के भीतर महान ब्रह्मांडीय गर्भ को समाहित किए हुए हैं, उन्हें नमन।"
47,Vishvagarbhaaya,विश्वगर्भ्याय,Salutations To The one who contains the entire universe within his being.,अपने अस्तित्व में संपूर्ण ब्रह्मांड को समाहित करने वाले को नमन।
48,Bhuve,भुवे,Salutations To The one who is the very embodiment of the Earth and existence.,पृथ्वी और अस्तित्व के साक्षात स्वरूप को नमन।
49,Abhuve,अभूवे,"Salutations To The one who is unborn, transcending all existence.","जन्म रहित, समस्त अस्तित्व से परे (अभुवे) को नमन।"
50,Bhuutatvaaya,भूतत्वाय,Salutations To The one who represents the fundamental essence of all beings.,सभी प्राणियों के मूल तत्व के स्वरूप को नमन।
51,Bhuvanaadhiishaaya,भुवनाधीशाय,Salutations To The  supreme ruler of all the worlds.,सभी लोकों के सर्वोच्च शासक को नमन।
52,Bhuutikrite,भूति कृते,Salutations To The one who creates prosperity and well-being.,समृद्धि और कल्याण के निर्माता को नमन।
53,Bhraantinaashanaaya,भ्रान्तिनाशनाय,Salutations To The  destroyer of all confusion and delusion.,सभी भ्रम और मोह का नाश करने वाले को नमन।
54,Bhuutibhuushitasarvaanggaaya,भूतिभूषितसर्वांगाय,Salutations To The one whose entire body is adorned with sacred ash.,"जिनके संपूर्ण शरीर पर पवित्र भस्म सुशोभित है, उन (भगवान कालभैरव) को नमन।"
55,Bhuushayaaya,भूषयाय,Salutations To The one who is the source of all adornment.,सभी अलंकरणों के स्रोत को नमन।
56,Bhuutavaahanaaya,भूतवाहनाय,Salutations To The one who has spirits and ghosts as his vehicle.,भूतों और प्रेतों को अपना वाहन बनाने वाले को नमन।
57,Kshetrajnaaya,क्षेत्रज्ञाय,Salutations To The one who is the ultimate knower of the field (the body and all of creation).,क्षेत्र (शरीर और संपूर्ण सृष्टि) के परम ज्ञाता को नमन।
58,Bhuvanaadhiishaaya,भुवनाधीशाय,Salutations To The  supreme lord and ruler of all worlds.,समस्त लोकों के सर्वोच्च प्रभु और शासक को नमन।
59,Bhuutidaaya,भूतिदाय,"Salutations To The  bestower of well-being, prosperity, and supernatural powers.","कल्याण, समृद्धि और अलौकिक शक्तियों को प्रदान करने वाले को नमन।"
60,Bhuutimate,भूतिमाते,"Salutations To The one who is possessed of great power, glory, and being.","महान शक्ति, महिमा तथा अस्तित्व से युक्त देव को नमन।"
61,Prabhave,प्रभवे,"Salutations To The  supreme, mighty, and all-powerful Lord.","सर्वोच्च, शक्तिशाली और सर्वशक्तिमान भगवान को नमन।"
62,Kshetrajnaaya,क्षेत्रज्ञाय,Salutations To The  knower of the field of existence.,अस्तित्व के क्षेत्र को जानने वाले को नमन।
63,Kshetrapaalaaya,क्षेत्रपालाय,Salutations To The  ultimate guardian and protector of the sacred field or domain.,पवित्र क्षेत्र या क्षेत्र के परम संरक्षक और रक्षक को नमन।
64,Kshetravighnanivaaranaaya,क्षेत्रविघ्ननिवारणाय,Salutations To The  remover of all obstacles within the sacred field of life.,जीवन के पवित्र क्षेत्र में सभी बाधाओं को दूर करने वाले को नमन।
65,Kshaantaaya,क्षान्ताय,"Salutations To The one who is supremely patient, tranquil, and forgiving.","जो परम धैर्यवान, शांत और क्षमाशील हैं, उन्हें नमन।"
66,Kshudraaya,क्षुद्राय,Salutations To The one who can assume a minute form or attend Salutations To The  smallest of beings.,सूक्ष्म रूप धारण करने वाले या सूक्ष्मतम प्राणियों का ध्यान रखने वाले (कालभैरव) को नमन।
67,Kshetrapaaya,क्षेत्रपाय,Salutations To The  protector of the land and the sacred field.,भूमि और पवित्र क्षेत्र के संरक्षक को नमन।
68,Kshudraghnaaya,क्षुद्रघ्नाय,"Salutations To The  destroyer of the petty-minded, the wicked, and the insignificant.","ओछे विचार वाले, दुष्टों और तुच्छ का विनाश करने वाले को नमन।"
69,Kshatrapaaya,क्षत्रपाय,"Salutations To The  protector of the domain, a true sovereign.",अपने क्षेत्र के रक्षक तथा एक सच्चे संप्रभु को नमन।
70,Kshamine,क्षमिणे,Salutations To The one who is the very embodiment of forgiveness and forbearance.,क्षमा और सहिष्णुता के साक्षात् स्वरूप को नमन।
71,Kshobhanaaya,क्षोभनाय,"Salutations To The one who causes agitation, shaking beings out of ignorance and inertia.",उन भगवान को नमन जो अज्ञानता और जड़ता से जीवों को बाहर निकालने के लिए क्षोभ या हलचल पैदा करते हैं।
72,Maaranaaya,मारणाय,Salutations To The one who wields the power of death and destruction against evil.,"जो बुराई के विरुद्ध मृत्यु और विनाश की शक्ति धारण करते हैं, उन्हें नमन।"
73,Stambhanaaya,स्तम्भनाय,"Salutations To The one who can paralyze, halt, or immobilize any opposing force.","विरोधी शक्ति को पंगु करने, रोकने या स्थिर करने वाले को नमन।"
74,Mohanaaya,मोहनाय,"Salutations To The one who has the power to delude, enchant, and captivate all beings.","सभी प्राणियों को मोहित, मंत्रमुग्ध और वश में करने की शक्ति रखने वाले को नमन।"
75,Namanaaya,नमन्याय,Salutations To The one who is worthy of all reverence and to whom all must bow.,"जो सभी श्रद्धा के योग्य हैं और जिनके समक्ष सभी को झुकना चाहिए, उनको नमन।"
76,Vashine,वशीने,Salutations To The one who has everyone and everything under his control.,उन प्रभु को नमन जिनका सभी पर और हर चीज़ पर नियंत्रण है।
77,Kshapanaaya,क्षपणाय,Salutations To The one who brings about the destruction or expiation of sins.,पापों का विनाश या प्रायश्चित्त करने वाले (देव) को नमन।
78,Kshaantidaaya,क्षान्तिदाय,Salutations To The one who is the bestower of patience and tranquility.,धैर्य और शांति प्रदान करने वाले को नमन।
79,Kshaamaaya,क्षमाया,"Salutations To The one who is patient, peaceful, and enduring.","जो धैर्यवान, शांतिपूर्ण और सहनशील हैं, उन्हें नमन।"
80,Kshamine,क्षमिणे,Salutations To The one who is the very embodiment of forgiveness and forbearance.,क्षमा और सहनशीलता के साक्षात स्वरूप को नमन।
81,Kshetradharaaya,क्षेत्रधाराय,Salutations To The one who upholds and supports the entire field of existence.,सम्पूर्ण ब्रह्मांड के अस्तित्व के क्षेत्र को धारण करने वाले और सहारा देने वाले (कालभैरव) को नमन।
82,Ksharaaya,क्षाराय,"Salutations To The one who is the perishable form of all things, yet also the imperishable reality.","सभी नश्वर वस्तुओं के स्वरूप होते हुए भी जो अविनाशी सत्य हैं, उन्हें नमन।"
83,Kangkaalaaya,कंकालाय,"Salutations To The one who has a skeletal form, symbolizing transcendence over the physical body.","कंकाल रूप धारण करने वाले को नमन, जो भौतिक शरीर से परे होने का प्रतीक है।"
84,Kaalashamanaaya,कालशमनाय,Salutations To The one who pacifies and subdues time and death.,काल और मृत्यु को शांत करने वाले और वश में करने वाले को नमन।
85,Kalaakaashthaayai,कालाकाष्ठयै,Salutations To The one who is the ultimate limit and the smallest unit of time.,काल की परम सीमा और सूक्ष्मतम इकाई को नमन।
86,Kalaanidhaye,कलानिधये,Salutations To The one who is the great treasure-house of all arts and skills.,सभी कलाओं और कौशलों के महान निधि-भंडार को नमन।
87,Kaalaaya,कालाय,"Salutations To The one who is Time itself, the ultimate destroyer and sustainer.","जो स्वयं काल हैं, परम संहारक और पालनकर्ता हैं, उन्हें नमन।"
88,Karaalaaya,करालाय,"Salutations To The one with a gaping mouth and a fearsome, formidable appearance.","खुले मुख वाले और भयानक, विकराल रूप वाले को नमन।"
89,Kangkaaline,कंकालिने,"Salutations To The one who wears a garland of skulls, symbolizing detachment from the ego.","उन (भगवान) को नमन, जो खोपड़ियों की माला धारण करते हैं, जो अहंकार से वैराग्य का प्रतीक है।"
90,Kamaniiyaaya,कमनीयाय,"Salutations To The one who is supremely beautiful, charming, and desirable.","अत्यंत सुंदर, मनमोहक और वांछनीय (कमनीय) स्वरूप को नमन।"
91,Kalaanidhaye,कलानिधये,Salutations To The one who is a repository of all arts and divine qualities.,सभी कलाओं और दिव्य गुणों के भंडार स्वरूप को नमन।
92,Kaalaaya,कालाय,Salutations To The one who is the embodiment of time and destiny.,काल और नियति के साक्षात् स्वरूप को नमन।
93,Kaalaakritaye,कालाकृतये,Salutations To The one who is the creator and shaper of time itself.,काल को रचने वाले और आकार देने वाले को नमन।
94,Vaayave,वायवे,Salutations To The one who is the vital life-breath (Vayu) and the cosmic wind.,प्राणवायु और ब्रह्मांडीय पवन के स्वरूप को नमन।
95,Kapardine,कपर्दिने,"Salutations To The one with thick, matted, and coiled locks of hair.","घनी, जटाजूट और कुंडलित केशों वाले (भगवान कालभैरव) को नमन।"
96,Kaamashaasanaaya,कामाशासनाय,Salutations To The one who is the chastiser and absolute ruler of desire (Kama).,काम (इच्छा) के शासक और निरपेक्ष नियंत्रक को नमन।
97,Kuberabandhave,कुबेरबन्धवे,"Salutations To The one who is a dear friend and relative of Kubera, the god of wealth.",धन के देवता कुबेर के प्रिय मित्र और संबंधी को नमन।
98,Kaamaatmane,कामात्मने,"Salutations To The one whose very soul is desire, and who fulfills all desires.","जिनकी आत्मा ही कामना है और जो सभी कामनाओं को पूर्ण करते हैं, उनको नमन।"
99,Karnikaarapriyaaya,कर्णिकारप्रियाय,Salutations To The one who is fond of the beautiful Karnikara flower.,सुंदर कर्णिकार फूल के प्रिय (स्वामी) को नमन।
100,Kapaye,कपाए,"Salutations To The one who is the chief, or is reddish-brown in color like an ape.",कपी (वानर) के समान प्रधान या लाल-भूरे रंग वाले को नमन।
101,Kaamadevaaya,कामदेवाय,Salutations To The one who is the divine god of love and desire.,"कामदेव को नमन, जो प्रेम औरRइच्छा के दिव्य देवता हैं।"
102,Kaamapaalaaya,कामपालाय,Salutations To The one who is the ultimate protector and fulfiller of desires.,समस्त इच्छाओं के परम रक्षक और पूर्ति करने वाले को नमन।
103,Kaamine,कामिने,"Salutations To The one who is full of love, desire, and affection.","प्रेम, इच्छा, और स्नेह से परिपूर्ण (कालभैरव) को नमन।"
104,Kaantaaya,कान्ताय,"Salutations To The one who is exceptionally beautiful, beloved, and radiant.","जो असाधारण रूप से सुंदर, प्रिय और तेजस्वी हैं, उन्हें नमन।"
105,Kritaagamaaya,कृतागमाय,Salutations To The one who has authored the sacred scriptures and tantric texts (Agamas).,उन भगवान को नमन जिन्होंने पवित्र शास्त्र और तांत्रिक ग्रंथ (आगम) रचे हैं।
106,Kalyaanaprakritaye,कल्याणप्रकृतये,"Salutations To The one whose intrinsic nature is auspiciousness, fortune, and well-being.","जिनकी आंतरिक प्रकृति शुभता, सौभाग्य और कल्याण स्वरूप है, उन्हें नमन।"
107,Kalpaaya,कल्पाय,Salutations To The one who is the cosmic aeon (Kalpa) and the prescribed rules.,"जो ब्रह्मांडीय युग (कल्प) और निर्धारित नियमों के स्वरूप हैं, उनको नमन।"
108,Kalpaadaye,कल्पाद्ये,Salutations To The one who is the very beginning of every cosmic cycle.,प्रत्येक प्रलयकाल के आदि अर्थात प्रथम स्वरूप को नमन।
109,Kamalekshanaaya,कमलेक्षणाय,Salutations To The one whose eyes are as beautiful and captivating as lotuses.,"जिनके नेत्र कमल के समान सुंदर और मनमोहक हैं, उन्हें नमन।"
110,Kamandaludharaaya,कमण्डलुधाराय,"Salutations To The one who carries a water pot (Kamandalu), symbolizing asceticism.","कमण्डलु धारण करने वाले (कमण्डलुधर) को नमन, जो तपस्या का प्रतीक है।"
111,Ketave,केतवे,"Salutations To The one who is a banner or a flag, a symbol of victory and sovereignty.","विजय और संप्रभुता के प्रतीक, ध्वज या पताका स्वरूप को नमन।"
112,Kaalayogine,कालयोगिने,Salutations To The one who is a master yogi perfectly united with Time.,समय के साथ पूर्णतः एकीकृत सिद्ध योगी को नमन।
113,Akalmashaaya,अकलमषाय,"Salutations To The one who is absolutely pure, sinless, and without any stain or impurity.","जो परम शुद्ध, निष्पाप और बिना किसी दाग या अशुद्धि के हैं, उन्हें नमन।"
114,Karanaaya,कारणाय,Salutations To The one who is the ultimate instrument of all action and creation.,समस्त कर्म और सृष्टि के परम साधन स्वरूप को नमन।
115,Kaaranaaya,कारणाय,Salutations To The one who is the primordial and ultimate cause of the entire universe.,संपूर्ण ब्रह्मांड के आदि और अंतिम कारण स्वरूप को नमन।
116,Kartre,कर्त्रे,Salutations To The one who is the supreme doer and the agent of all actions.,परम कर्ता और सभी कर्मों के कारक को नमन।
117,Kailaasapataye,कैलासपतये,Salutations To The  supreme and undisputed lord of the holy Mount Kailasa.,पवित्र कैलाश पर्वत के सर्वोच्च और निर्विवाद स्वामी को नमन।
118,Iishvaraaya,ईश्वराय,"Salutations To The  supreme, divine, all-powerful Lord and controller of the cosmos.","परम, दिव्य, सर्वशक्तिमान प्रभु और ब्रह्मांड के नियंत्रक को नमन।"
119,Kaamabhuve,कामभुवे,Salutations To The one who is the sacred ground from which all desires are born.,"सभी इच्छाओं के जन्मस्थान, उस पवित्र भूमि को नमन।"
120,Kaamadaaya,कामदाय,Salutations To The one who is the generous bestower and fulfiller of all wishes and desires.,सभी इच्छाओं और कामनाओं को उदारतापूर्वक प्रदान करने वाले और पूर्ण करने वाले को नमन।
121,Acintyaaya,अचिन्त्याय,"Salutations To The one who is incomprehensible, unimaginable, and beyond all human thought.","जो अकथनीय, अकल्पनीय और सभी मानवीय विचारों से परे हैं, उनको नमन।"
122,Kiriitine,किरीटिने,"Salutations To The one who wears a glorious, shining diadem or crown.","महिमामय, चमकता मुकुट धारण करने वाले को नमन।"
123,Kaushikaaya,कौशिका,Salutations To The one who is associated with the sage Kushika or is encased in the five sheaths (koshas).,उन कौशिका ऋषि से संबंधित या पंचकोषों (शरीर के पांच आवरण) से युक्त को नमन।
124,Kapilaaya,कपिलाय,"Salutations To The one who is of a reddish-brown color, and the great sage Kapila.","जो रक्ताभ-भूरे रंग के हैं, और महान ऋषि कपिल को नमन।"
125,Kushalaaya,कुशलाय,"Salutations To The one who is perpetually auspicious, skillful, and an expert in all things.","जो निरंतर शुभ, कुशल और सभी बातों में पारंगत हैं, उन्हें नमन।"
126,Kartre,कर्त्रे,Salutations To The one who is the ultimate agent and performer of all cosmic activities.,सभी ब्रह्मांडीय गतिविधियों के परम कर्ता और निष्पादक को नमन।
127,Kumaaraaya,कुमाराय,"Salutations To The one who is the eternal youth, the divine son (like Lord Kartikeya).","शाश्वत युवा, दिव्य पुत्र (भगवान कार्तिकेय के समान) को नमन।"
128,Kapataaya,कपटाय,Salutations To The one who can be deceitful or illusory Salutations To The  wicked and the ignorant.,"मायावी या भ्रामक हो सकने वाले, दुष्ट और अज्ञानी को नमन।"
129,Kshamaaya,क्षमाय,Salutations To The one who is the very embodiment of supreme patience and forgiveness.,"जो परम धैर्य और क्षमा के साक्षात् स्वरूप हैं, उनको नमन।"
130,Kalaadyadrishe,कलाद्यदृशे,Salutations To The one who is the first and foremost seer of all arts and sciences.,सभी कलाओं और विज्ञानों के आदि और परम द्रष्टा को नमन।
131,Kalaadhaaraaya,कलाधाराय,Salutations To The one who is the fundamental support and foundation of all sixty-four arts.,सभी चौंसठ कलाओं के मूलभूत आधार और नींव स्वरूप को नमन।
132,Kapaalakanthaaya,कपालकण्ठाय,Salutations To The one whose throat is adorned with a garland of skulls.,"जिनके गले में कपालों की माला सुशोभित है, उन्हें नमन।"
133,Kapaalabhrite,कपालभृते,"Salutations To The one who carries a skull-bowl (kapala), a symbol of ultimate renunciation.",कपाल-पात्र धारण करने वाले (अंतिम वैराग्य का प्रतीक) को नमन।
134,Kailaasashikharaavaasaaya,कैलासशिखरावासाय,"Salutations To The one who resides on the highest, most sacred peak of Mount Kailasa.","कैलाश पर्वत के सर्वोच्च, परम पवित्र शिखर पर निवास करने वाले (भगवान भैरव) को नमन।"
135,Kuberaaya,कुबेराय,"Salutations To The one who is the lord of all wealth and treasures, Kubera.","समस्त धन और कोषों के स्वामी, कुबेर को नमन।"
136,Kiirtibhuushanaaya,कीर्तिभूषणाय,Salutations To The one whose real ornament and adornment is his immense fame and glory.,"जिनकी असीम प्रसिद्धि और महिमा ही उनका वास्तविक आभूषण और अलंकरण है, उन (भगवान भैरव) को नमन।"
137,Kaalajnaanine,कालज्ञानाय,"Salutations To The one who possesses the perfect knowledge of time—past, present, and future.","भूत, वर्तमान और भविष्य - तीनों कालों के पूर्ण ज्ञान के स्वामी को नमन।"
138,Kalaavaasaaya,कलावासाय,Salutations To The one who is the supreme and ultimate abode of all arts and skills.,सभी कलाओं और कौशल के सर्वोच्च निवास स्थान को नमन।
139,Kopitaaya,कोपिताय,Salutations To The one who can become wrathful and intensely angry towards evil and injustice.,दुष्टता और अन्याय के प्रति अत्यंत क्रोधित होने वाले को नमन।
140,Kaantavigrahaaya,कान्तविग्रहाय,"Salutations To The one who possesses a lovely, enchanting, and captivating physical form.","सुन्दर, मनमोहक और चित्ताकर्षक शारीरिक रूप धारण करने वाले को नमन।"
141,Kavacine,कवचीने,"Salutations To The one who is eternally clad in an impenetrable, divine suit of armor.","उस देव को नमन जो अभेद्य, दिव्य कवच से सुशोभित हैं।"
142,Kantakine,कंटकिने,Salutations To The one who is thorny and proves to be a great obstacle to his enemies.,"जो काँटों वाला है और अपने शत्रुओं के लिए एक महान बाधा सिद्ध होता है, उसे नमन।"
143,Kaaryakovidavikramaaya,कार्यकोविद्विक्रमाय,Salutations To The one whose extraordinary valor is guided by his expertise in all actions.,"जिनकी असाधारण वीरता सभी कार्यों में उनकी विशेषज्ञता से निर्देशित है, उन्हें नमन।"
144,Kaalabhakshaaya,कालभक्षाय,Salutations To The one who is the ultimate devourer of time itself.,"जो स्वयं काल का अंतिम भक्षक है, उन्हें नमन।"
145,Kalam,कालं,"Salutations To The one who is the sweet, gentle, and melodious sound or utterance.","उस मधुर, कोमल और सुरीली ध्वनि या उच्चारण को नमन।"
146,Kaarine,कारिणे,Salutations To The one who is the ultimate performer and executor of all cosmic actions.,सभी लौकिक क्रियाओं के परम कर्ता और निष्पादक को नमन।
147,Kingkiniikritavaasukaye,किंकिणीकृतवासुकये,Salutations To The one who has the great serpent king Vasuki as his jingling anklet.,"जिनके महान सर्पराज वासुकि की घुंघरूदार पायल है, उन्हें नमन।"
148,Ganeshvaraaya,गणेश्वराय,Salutations To The one who is the supreme lord of all celestial hosts and divine attendants (Ganas).,सभी खगोलीय गणों और दिव्य परिचारकों (गणों) के सर्वोच्च स्वामी को नमन।
149,Gauriishaaya,गौरीशाय,Salutations To The one who is the beloved lord and consort of Gauri (the radiant Parvati).,गौरी (तेजस्वी पार्वती) के प्रिय स्वामी और पति को नमन।
150,Giriishaaya,गिरीशाय,Salutations To The one who is the supreme and undisputed lord of all mountains.,सभी पर्वतों के सर्वोच्च और निर्विवाद स्वामी को नमन।
151,Giribaadhakaaya,गिरिबाधकाय,"Salutations To The one who can obstruct even mountains, or who removes mountain-like obstacles for his devotees.","उन (कालभैरव) को नमन, जो पर्वतों को भी रोक सकते हैं, या जो अपने भक्तों के लिए पर्वत समान बाधाओं को दूर करते हैं।"
152,Giridhanvane,गिरिधन्वने,Salutations To The one whose cosmic bow is the great mountain Meru.,"उन्हें नमन, जिनका ब्रह्मांडीय धनुष महान मेरु पर्वत है।"
153,Guhaaya,गुहाय,"Salutations To The one who resides in the secret, sacred cave of every being's heart.","प्रत्येक प्राणी के हृदय की गुप्त, पवित्र गुफा में निवास करने वाले को नमन।"
154,Goptre,गोप्तृ,"Salutations To The one who is the ultimate protector, guardian, and preserver of all creation.","समस्त सृष्टि के परम रक्षक, संरक्षक और पालनकर्ता को नमन।"
155,Gunaraashaaye,गुणराशये,"Salutations To The one who is a great, immeasurable treasure-heap of all divine virtues and noble qualities.","सभी दिव्य गुणों और नेक विशेषताओं के एक महान, अतुलनीय निधि-ढेर वाले को नमन।"
156,Gunaakaraaya,गुणाकराय,Salutations To The one who is a vast and inexhaustible mine of all excellent qualities.,सभी उत्कृष्ट गुणों की विशाल और अक्षय खान के स्वरूप को नमन।
157,Gambhiiraaya,गम्भीराय,"Salutations To The one who is profoundly deep, serious, and inscrutable.","जो अत्यंत गहन, गंभीर और अगम्य हैं, उन्हें नमन।"
158,Gahanaaya,गहनाय,"Salutations To The one who is impenetrable, mysterious, and unfathomable.","जो अगम्य, रहस्यमय और अथाह हैं, उन्हें नमन।"
